iter	RMSE
0	4499.293795
1	4347.84591
2	4206.9896
3	4075.179977
4	3950.851115
5	3830.702508
6	3717.523586
7	3612.213844
8	3514.051367
9	3422.653723
10	3337.874318
11	3256.274291
12	3179.188737
13	3105.446289
14	3038.31065
15	2977.499888
16	2917.923501
17	2862.960656
18	2810.028022
19	2758.869909
20	2711.539376
21	2666.876117
22	2627.105761
23	2589.819567
24	2554.908415
25	2521.46771
26	2491.152759
27	2461.340943
28	2433.374385
29	2406.748141
30	2382.301162
31	2358.810479
32	2336.50875
33	2315.73502
34	2296.35461
35	2278.863665
36	2261.586666
37	2244.763051
38	2225.281307
39	2209.839902
40	2195.844285
41	2182.651411
42	2167.886998
43	2154.601486
44	2139.94644
45	2128.847194
46	2118.250753
47	2105.969074
48	2095.621478
49	2086.539855
50	2076.777786
51	2065.586829
52	2056.684814
53	2048.86759
54	2040.522508
55	2032.968379
56	2025.837955
57	2018.66659
58	2011.986197
59	2004.498383
60	1998.224444
61	1991.679431
62	1986.123711
63	1978.305522
64	1973.180821
65	1967.935055
66	1960.446509
67	1955.903004
68	1948.93605
69	1944.448567
70	1940.057657
71	1935.756667
72	1931.770415
73	1925.952023
74	1922.322228
75	1918.545623
76	1914.716982
77	1910.68377
78	1907.16162
79	1903.807793
80	1900.771376
81	1896.578237
82	1893.32059
83	1890.655321
84	1886.804819
85	1883.718841
86	1879.453372
87	1876.293985
88	1873.739066
89	1871.389387
90	1869.014484
91	1866.783221
92	1864.358892
93	1862.09148
94	1859.598532
95	1857.197748
96	1855.35168
97	1853.068815
98	1851.215448
99	1849.330983
100	1847.487477
101	1845.514294
102	1843.666723
103	1841.561104
104	1839.94468
105	1838.044011
106	1836.446022
107	1834.366102
108	1832.671389
109	1829.892981
110	1828.018957
111	1825.28456
112	1823.23996
113	1821.772412
114	1820.085757
115	1818.760089
116	1816.359225
117	1815.066676
118	1813.850924
119	1812.552588
120	1810.383363
121	1809.181115
122	1807.729014
123	1805.812153
124	1804.174917
125	1802.937533
126	1801.652325
127	1800.04019
128	1798.909413
129	1797.628446
130	1796.280718
131	1794.739707
132	1793.619181
133	1792.148784
134	1790.863441
135	1789.423084
136	1788.261204
137	1786.624864
138	1785.615408
139	1784.696258
140	1782.379229
141	1781.408505
142	1780.488229
143	1779.179492
144	1778.193092
145	1777.336673
146	1776.410759
147	1774.888418
148	1773.486772
149	1772.713058
150	1771.453831
151	1770.043796
152	1769.026728
153	1768.131479
154	1767.102905
155	1766.245453
156	1765.125525
157	1764.174577
158	1763.023421
159	1762.334221
160	1761.485922
161	1760.792995
162	1759.899405
163	1758.957825
164	1758.143553
165	1757.179784
166	1756.598911
167	1755.565654
168	1754.507089
169	1753.115643
170	1752.419187
171	1751.220744
172	1750.097907
173	1749.496403
174	1748.910461
175	1747.761458
176	1747.03318
177	1746.249351
178	1745.411347
179	1744.404015
180	1743.78027
181	1742.848824
182	1742.25507
183	1741.366191
184	1740.860258
185	1740.022724
186	1739.471413
187	1737.964421
188	1737.255874
189	1736.328532
190	1735.766558
191	1735.220512
192	1734.40188
193	1733.531567
194	1732.904232
195	1732.329178
196	1731.731132
197	1731.284588
198	1730.420817
199	1729.580665
200	1728.8625
201	1728.234316
202	1727.674666
203	1727.222941
204	1726.761751
205	1725.990915
206	1725.075023
207	1724.39354
208	1723.772011
209	1722.597842
210	1722.02461
211	1721.422972
212	1720.39355
213	1719.847333
214	1719.232912
215	1718.621538
216	1718.172753
217	1717.57323
218	1716.70863
219	1716.099819
220	1715.125545
221	1714.440426
222	1713.761722
223	1713.076425
224	1712.402075
225	1711.29168
226	1710.717287
227	1710.275512
228	1709.563422
229	1709.04183
230	1708.45508
231	1708.080828
232	1707.655659
233	1707.03897
234	1706.58288
235	1705.901509
236	1705.264187
237	1704.548207
238	1704.176287
239	1703.5017
240	1703.098967
241	1702.401607
242	1701.970891
243	1701.451086
244	1700.732898
245	1700.26336
246	1699.591003
247	1698.778135
248	1698.161619
249	1697.42778
250	1696.661349
251	1696.229925
252	1695.745366
253	1694.894799
254	1694.180782
255	1693.771663
256	1692.872235
257	1692.226137
258	1691.457958
259	1690.928821
260	1690.488822
261	1690.063002
262	1689.460945
263	1688.991922
264	1688.375579
265	1687.520996
266	1687.056515
267	1686.243814
268	1685.632144
269	1684.764436
270	1683.866834
271	1683.430551
272	1682.869179
273	1682.335824
274	1681.426004
275	1680.952807
276	1680.40715
277	1679.945961
278	1679.262246
279	1678.744459
280	1677.979697
281	1677.706048
282	1677.406935
283	1677.042364
284	1676.729706
