iter	Passed	Remaining
0	154	154298
1	174	87235
2	224	74497
3	246	61471
4	264	52542
5	286	47514
6	302	42925
7	318	39454
8	333	36716
9	352	34909
10	369	33254
11	387	31913
12	404	30725
13	420	29618
14	437	28754
15	453	27883
16	471	27256
17	488	26677
18	507	26210
19	526	25774
20	541	25244
21	558	24849
22	584	24820
23	621	25286
24	644	25128
25	660	24735
26	676	24393
27	694	24109
28	711	23817
29	726	23496
30	743	23253
31	759	22989
32	774	22696
33	790	22462
34	804	22178
35	821	21994
36	838	21836
37	853	21618
38	870	21443
39	885	21248
40	900	21060
41	915	20877
42	930	20713
43	946	20558
44	960	20389
45	975	20233
46	989	20072
47	1004	19924
48	1019	19790
49	1034	19659
50	1049	19524
51	1064	19405
52	1080	19308
53	1096	19212
54	1111	19092
55	1127	19003
56	1144	18931
57	1160	18855
58	1177	18776
59	1192	18677
60	1207	18590
61	1221	18475
62	1236	18389
63	1252	18311
64	1266	18217
65	1283	18164
66	1299	18091
67	1314	18020
68	1329	17939
69	1346	17890
70	1363	17836
71	1376	17740
72	1392	17682
73	1407	17616
74	1423	17552
75	1437	17479
76	1452	17413
77	1467	17350
78	1483	17293
79	1500	17258
80	1516	17200
81	1532	17155
82	1548	17108
83	1562	17042
84	1578	16990
85	1592	16922
86	1608	16882
87	1624	16839
88	1641	16800
89	1657	16754
90	1671	16695
91	1689	16673
92	1704	16620
93	1720	16585
94	1738	16558
95	1754	16523
96	1770	16479
97	1787	16455
98	1803	16416
99	1819	16376
100	1835	16336
101	1849	16286
102	1865	16249
103	1880	16197
104	1895	16160
105	1912	16126
106	1927	16087
107	1942	16042
108	1955	15987
109	1972	15959
110	1987	15915
111	2003	15884
112	2018	15843
113	2034	15808
114	2048	15762
115	2063	15726
116	2078	15688
117	2094	15658
118	2108	15612
119	2123	15575
120	2141	15559
121	2156	15520
122	2174	15501
123	2189	15466
124	2204	15434
125	2224	15429
126	2245	15439
127	2263	15419
128	2278	15387
129	2293	15347
130	2308	15312
131	2324	15284
132	2340	15257
133	2356	15230
134	2371	15196
135	2387	15170
136	2402	15136
137	2418	15108
138	2432	15070
139	2448	15041
140	2464	15013
141	2479	14982
142	2496	14959
143	2511	14926
144	2526	14899
145	2541	14866
146	2558	14846
147	2575	14825
148	2589	14792
149	2604	14760
150	2620	14734
151	2637	14715
152	2654	14693
153	2668	14661
154	2684	14632
155	2699	14607
156	2716	14587
157	2731	14553
158	2744	14518
159	2759	14485
160	2774	14456
161	2788	14426
162	2804	14399
163	2818	14368
164	2834	14343
165	2849	14318
166	2864	14285
167	2878	14257
168	2894	14232
169	2910	14210
170	2924	14179
171	2940	14153
172	2955	14129
173	2971	14104
174	2985	14073
175	3000	14046
176	3014	14017
177	3031	14001
178	3047	13976
179	3061	13946
180	3077	13924
181	3091	13893
182	3106	13870
183	3121	13841
184	3136	13815
185	3151	13791
186	3166	13766
187	3182	13745
188	3197	13718
189	3212	13696
190	3227	13672
191	3242	13644
192	3257	13620
193	3271	13593
194	3288	13577
195	3304	13555
196	3319	13530
197	3333	13503
198	3348	13476
199	3362	13451
200	3377	13426
201	3394	13409
202	3409	13386
203	3425	13366
204	3442	13348
205	3457	13325
206	3473	13307
207	3488	13282
